Product Number,Category,Units Sold,Unit Price,Lead Time (in days),Unit Cost,Holding Cost,Order Cost,Month,,,,,,A CLASS:,DEMAND,FIXED COST,HOLDING COST,EOQ
ABSAL,Item #6,93,17.29878596,3.5,10.1640006,0.924105848,386.8790998,September,,,,,,RABEK,769,121,4.6,201.1369856
ABSAL,Item #6,46,15.39543337,3.5,10.3786056,1.006140148,348.9313518,July,,,,,,ITVPQ,777,114,3.9,213.1305126
ABSAL,Item #6,43,3.272051794,3.5,2.006634926,0.076156224,292.2847196,October,,,,,,PWNLL,686,106,2.7,232.0855526
ABSAL,Item #6,74,3.020561171,3.5,2.742560329,0.08592546,251.8835756,December,,,,,,DOCFZ,825,128,5.3,199.6222848
ABSAL,Item #6,24,6.852211502,3.5,4.618623878,0.162728206,304.7927291,March,,,,,,JDHQC,840,111,3.3,237.7164086
ABSAL,Item #6,37,15.91540004,3.5,14.89971429,0.350704093,201.9369168,August,,,,,,,,,,
ABSAL,Item #6,78,9.709459631,3.5,7.870662462,0.762316165,299.5194439,January,,,,,,,,,,
ABSAL,Item #6,70,1.074085526,3.5,0.968718899,0.061004331,318.1008054,June,,,,,,B CLASS:,DEMAND,FIXED COST,HOLDING COST,EOQ
ABSAL,Item #6,43,1.328149355,3.5,0.883923177,0.059975877,279.1009115,April,,,,,,CWQPP,590,101,4.6,160.9617832
ABSAL,Item #6,10,13.32287311,3.5,7.897513628,0.203232452,285.2344356,February,,,,,,VNRTM,712,117,3.9,206.6881709
ABSAL,Item #6,13,6.441926409,3.5,4.42740734,0.259902197,237.1826945,May,,,,,,VXEEP,736,108,2.7,242.6520142
ABSAL,Item #6,51,7.666458831,3.5,6.20094664,0.143775336,297.5448446,November,,,,,,YJISL,695,132,5.3,186.0614628
AKMDJ,Item #7,30,1.514581334,2,1.200163163,0.03628411,307.1507309,November,,,,,,OPBML,705,121,3.3,227.37634
AKMDJ,Item #7,48,13.4374154,2,10.9106735,0.571307198,327.6737527,January,,,,,,,,,,
AKMDJ,Item #7,85,3.248962045,2,2.659535587,0.200042804,525.2388047,June,,,,,,,,,,
AKMDJ,Item #7,65,8.694351629,2,6.980483411,0.578147043,263.3453262,December,,,,,,C CLASS:,DEMAND,FIXED COST,HOLDING COST,EOQ
AKMDJ,Item #7,47,2.710960139,2,2.066116445,0.078615115,264.1077726,August,,,,,,ECNBC,601,,,
AKMDJ,Item #7,45,15.49990084,2,11.96497021,0.675196631,271.8160003,March,,,,,,ZRFZU,662,,,
AKMDJ,Item #7,91,11.96108769,2,9.479681596,0.699756354,401.6749409,July,,,,,,DKYVV,672,,,
AKMDJ,Item #7,65,3.231631972,2,2.267255361,0.069720314,256.2916939,May,,,,,,XEWAF,691,,,
AKMDJ,Item #7,40,1.040359615,2,0.569579445,0.050727772,293.5332744,September,,,,,,RDFXG,587,,,
AKMDJ,Item #7,96,10.82581599,2,6.343957966,0.201111122,274.6153438,February,,,,,,,,,,
AKMDJ,Item #7,46,5.02024021,2,4.548321663,0.208231029,259.3364017,April,,,,,,,,,,
AKMDJ,Item #7,51,3.667218528,2,2.458616519,0.215744556,266.4999886,October,,,,,,,,,,
ARFEB,Item #5,33,14.28232157,4.2,7.992596598,0.647146728,249.7286796,May,,,,,,,,,,
ARFEB,Item #5,59,7.317967659,4.2,4.51649392,0.234626218,273.937697,December,,,,,,,,,,
ARFEB,Item #5,55,8.90517612,4.2,5.445531142,0.498760238,329.8965714,September,,,,,,,,,,
ARFEB,Item #5,16,17.18683761,4.2,10.57298203,0.373081968,251.5738196,October,,,,,,,,,,
ARFEB,Item #5,19,8.021686979,4.2,5.369447658,0.311797929,251.760604,July,,,,,,,,,,
ARFEB,Item #5,61,10.68932248,4.2,7.73291389,0.155184694,256.2187223,June,,,,,,,,,,
ARFEB,Item #5,38,9.02835212,4.2,4.755113618,0.393359043,203.8224664,January,,,,,,,,,,
ARFEB,Item #5,10,10.12127095,4.2,8.774669402,0.476649667,313.8503407,November,,,,,,,,,,
ARFEB,Item #5,51,8.069507055,4.2,7.45093369,0.592821729,270.9309853,March,,,,,,,,,,
ARFEB,Item #5,45,8.463078562,4.2,6.052405369,0.370731836,263.0699205,August,,,,,,,,,,
ARFEB,Item #5,71,12.90734673,4.2,10.38343249,0.474179663,431.1323244,April,,,,,,,,,,
ARFEB,Item #5,58,3.668272316,4.2,1.930641391,0.092664816,380.1719504,February,,,,,,,,,,
AXFPZ,Item #2,94,18.63059815,6.3,13.27625348,1.228014103,458.9766076,May,,,,,,,,,,
AXFPZ,Item #2,42,4.946898914,6.3,4.252970842,0.299416802,313.2733425,December,,,,,,,,,,
AXFPZ,Item #2,50,0.806273796,6.3,0.621171535,0.060598128,320.7208976,June,,,,,,,,,,
AXFPZ,Item #2,45,12.42274335,6.3,11.04807626,1.038866043,278.0205379,March,,,,,,,,,,
AXFPZ,Item #2,97,16.13647482,6.3,11.93934238,0.245923494,363.8167752,November,,,,,,,,,,
AXFPZ,Item #2,43,14.693328,6.3,7.448793411,0.68226652,386.7096944,September,,,,,,,,,,
AXFPZ,Item #2,94,10.16823317,6.3,8.203611507,0.319140489,399.0673958,February,,,,,,,,,,
AXFPZ,Item #2,72,19.85541765,6.3,12.41700903,0.602592767,424.9440318,July,,,,,,,,,,
AXFPZ,Item #2,67,11.60146765,6.3,7.942840319,0.455384044,225.278926,January,,,,,,,,,,
AXFPZ,Item #2,59,0.778334098,6.3,0.417814004,0.035649693,240.8442155,August,,,,,,,,,,
AXFPZ,Item #2,76,13.75780605,6.3,7.662154418,0.280013286,394.4654937,April,,,,,,,,,,
AXFPZ,Item #2,42,14.70964758,6.3,9.995439645,0.849008165,363.6233377,October,,,,,,,,,,
BHXQH,Item #7,70,7.277875583,2.6,6.564881849,0.505022268,410.0211449,December,,,,,,,,,,
BHXQH,Item #7,19,2.830554558,2.6,2.252831788,0.158856927,309.5344881,February,,,,,,,,,,
BHXQH,Item #7,75,4.955417846,2.6,2.858915835,0.122250388,372.1813993,May,,,,,,,,,,
BHXQH,Item #7,66,15.54157053,2.6,10.7226162,0.290629784,178.1082223,April,,,,,,,,,,
BHXQH,Item #7,14,10.58195619,2.6,7.681558797,0.294014206,260.94437,August,,,,,,,,,,
BHXQH,Item #7,35,15.7878326,2.6,14.40948985,1.297044841,179.5544774,September,,,,,,,,,,
BHXQH,Item #7,74,12.19833303,2.6,9.733155114,0.924228744,342.3467122,July,,,,,,,,,,
BHXQH,Item #7,28,10.76705332,2.6,7.570968956,0.551632287,202.8577298,January,,,,,,,,,,
BHXQH,Item #7,32,2.884891105,2.6,1.97045026,0.054589875,217.2179009,June,,,,,,,,,,
BHXQH,Item #7,73,3.696573578,2.6,2.491009698,0.149263825,369.4152881,October,,,,,,,,,,
BHXQH,Item #7,39,16.20040809,2.6,12.38617517,0.328247055,263.0758646,November,,,,,,,,,,
BHXQH,Item #7,77,0.628178914,2.6,0.381371699,0.035748464,407.1340353,March,,,,,,,,,,
BMGII,Item #9,71,5.608086419,1.2,4.547560026,0.164021564,321.1666241,December,,,,,,,,,,
BMGII,Item #9,72,10.57595438,1.2,5.573684347,0.442030306,377.6842364,July,,,,,,,,,,
BMGII,Item #9,21,2.737871026,1.2,2.294147846,0.065704685,265.2055827,October,,,,,,,,,,
BMGII,Item #9,14,5.803150478,1.2,4.941982698,0.242270217,297.4597976,June,,,,,,,,,,
BMGII,Item #9,36,5.822687676,1.2,4.201812949,0.342401556,188.8533322,March,,,,,,,,,,
BMGII,Item #9,71,19.27020024,1.2,14.96617421,0.915452946,382.9484132,September,,,,,,,,,,
BMGII,Item #9,17,6.996426982,1.2,4.82936271,0.27388707,298.3865192,April,,,,,,,,,,
BMGII,Item #9,23,4.190427771,1.2,2.642046507,0.139422537,161.648312,May,,,,,,,,,,
BMGII,Item #9,47,1.243259567,1.2,1.060412814,0.066318585,227.7404053,January,,,,,,,,,,
BMGII,Item #9,84,5.868111815,1.2,5.024126929,0.173441827,404.7085912,February,,,,,,,,,,
BMGII,Item #9,28,3.204815908,1.2,2.938544741,0.226562851,279.9161061,November,,,,,,,,,,
BMGII,Item #9,51,7.254691496,1.2,3.740269059,0.211788182,205.5896753,August,,,,,,,,,,
BNGZY,Item #6,50,8.434821212,4.9,6.582675602,0.574735387,179.3547888,March,,,,,,,,,,
BNGZY,Item #6,94,5.336903429,4.9,3.811071046,0.37196748,368.3137815,September,,,,,,,,,,
BNGZY,Item #6,21,6.529818526,4.9,5.227768234,0.417012543,208.6579913,November,,,,,,,,,,
BNGZY,Item #6,32,1.047715843,4.9,0.524550517,0.04128199,163.9081357,December,,,,,,,,,,
BNGZY,Item #6,25,6.039128859,4.9,4.709679051,0.366499219,199.5741038,April,,,,,,,,,,
BNGZY,Item #6,74,10.36102594,4.9,7.885324699,0.43054209,359.3419192,August,,,,,,,,,,
BNGZY,Item #6,60,2.84422501,4.9,1.933440223,0.144927453,305.137397,May,,,,,,,,,,
BNGZY,Item #6,32,11.36399221,4.9,8.456294942,0.376792165,310.1982094,February,,,,,,,,,,
BNGZY,Item #6,84,3.201029027,4.9,2.105493404,0.113751009,366.4518495,October,,,,,,,,,,
BNGZY,Item #6,89,9.25745395,4.9,4.854792867,0.23946212,343.5339611,January,,,,,,,,,,
BNGZY,Item #6,92,9.847755087,4.9,5.890144902,0.18516435,470.0452286,July,,,,,,,,,,
BNGZY,Item #6,94,15.03282896,4.9,13.14622434,1.272818742,398.8112133,June,,,,,,,,,,
BOFYQ,Item #4,43,10.74061473,4.5,9.201502455,0.309355958,312.074333,May,,,,,,,,,,
BOFYQ,Item #4,43,7.777321098,4.5,5.838921184,0.366286305,167.8333456,March,,,,,,,,,,
BOFYQ,Item #4,35,11.08823163,4.5,8.500039536,0.53124303,174.2641417,January,,,,,,,,,,
BOFYQ,Item #4,28,3.64889175,4.5,1.865223354,0.047450041,249.6135859,June,,,,,,,,,,
BOFYQ,Item #4,10,6.810433472,4.5,3.698340312,0.193624117,288.3195277,December,,,,,,,,,,
BOFYQ,Item #4,62,9.520559097,4.5,5.458929652,0.345805101,359.9376112,October,,,,,,,,,,
BOFYQ,Item #4,79,0.538244997,4.5,0.318214436,0.013296532,287.3483104,August,,,,,,,,,,
BOFYQ,Item #4,62,19.26898974,4.5,13.35165046,1.302642657,188.8226717,February,,,,,,,,,,
BOFYQ,Item #4,96,10.90678099,4.5,6.302413099,0.52243352,504.898563,November,,,,,,,,,,
BOFYQ,Item #4,83,3.719761384,4.5,3.296355531,0.216136524,382.8270719,April,,,,,,,,,,
BOFYQ,Item #4,92,10.89088814,4.5,6.15466447,0.596990146,486.7436324,July,,,,,,,,,,
BOFYQ,Item #4,83,17.73972559,4.5,11.89580763,0.801518333,275.6569817,September,,,,,,,,,,
BQBQB,Item #1,94,2.877693255,6.2,2.499757834,0.135266279,490.5389437,August,,,,,,,,,,
BQBQB,Item #1,50,2.157551272,6.2,1.946864226,0.119831978,324.5084283,June,,,,,,,,,,
BQBQB,Item #1,79,14.79146936,6.2,10.59621338,0.505986689,313.2344743,March,,,,,,,,,,
BQBQB,Item #1,67,7.891828804,6.2,5.532356622,0.254058231,256.6297964,January,,,,,,,,,,
BQBQB,Item #1,54,11.57899033,6.2,10.81622749,0.731042627,313.5917519,September,,,,,,,,,,
BQBQB,Item #1,37,8.100933176,6.2,6.873254766,0.269487401,334.2036436,November,,,,,,,,,,
BQBQB,Item #1,92,3.540449441,6.2,3.2911771,0.11933954,472.725146,July,,,,,,,,,,
BQBQB,Item #1,54,18.54987735,6.2,15.27589381,1.060628152,363.8058802,May,,,,,,,,,,
BQBQB,Item #1,23,3.280532975,6.2,2.916073366,0.233976098,247.5344516,December,,,,,,,,,,
BQBQB,Item #1,33,19.31075286,6.2,12.51894152,0.799149076,296.3368123,October,,,,,,,,,,
BQBQB,Item #1,83,15.17114296,6.2,13.14431016,1.108321865,485.7912006,February,,,,,,,,,,
BQBQB,Item #1,21,11.85584982,6.2,7.330186234,0.179324163,278.0857872,April,,,,,,,,,,
BSVAV,Item #6,59,17.42034439,6.2,8.799007553,0.321352911,428.4168681,April,,,,,,,,,,
BSVAV,Item #6,95,2.13215408,6.2,1.469442894,0.06558263,435.509428,October,,,,,,,,,,
BSVAV,Item #6,31,12.83662697,6.2,11.29814164,0.508918587,240.4542296,May,,,,,,,,,,
BSVAV,Item #6,33,16.56920916,6.2,14.34831947,1.42903384,379.830185,March,,,,,,,,,,
BSVAV,Item #6,73,17.23919783,6.2,11.1827402,0.774302881,258.1664685,July,,,,,,,,,,
BSVAV,Item #6,17,16.96903426,6.2,15.10396946,0.506850533,137.1482545,September,,,,,,,,,,
BSVAV,Item #6,94,6.633673592,6.2,3.625287634,0.085106072,352.8121737,August,,,,,,,,,,
BSVAV,Item #6,13,8.696899284,6.2,7.382883757,0.564780908,232.2285748,June,,,,,,,,,,
BSVAV,Item #6,16,2.139985943,6.2,1.445967795,0.08932439,172.6863077,January,,,,,,,,,,
BSVAV,Item #6,80,17.94995017,6.2,13.77364248,0.784511357,343.3566506,February,,,,,,,,,,
BSVAV,Item #6,43,6.220693859,6.2,3.56418034,0.301899301,372.8325598,December,,,,,,,,,,
BSVAV,Item #6,30,13.49232023,6.2,9.768210489,0.579403161,214.9945962,November,,,,,,,,,,
BVTWE,Item #5,14,5.880317575,2.5,4.472957164,0.158108148,143.7253706,February,,,,,,,,,,
BVTWE,Item #5,32,12.34442786,2.5,6.552037879,0.264059015,260.8385043,November,,,,,,,,,,
BVTWE,Item #5,67,11.85265007,2.5,8.958785554,0.565977124,286.9523218,April,,,,,,,,,,
BVTWE,Item #5,12,17.21840801,2.5,15.27797324,0.537544874,316.9325836,September,,,,,,,,,,
BVTWE,Item #5,18,19.8599921,2.5,15.09321432,1.241975965,315.1735843,March,,,,,,,,,,
BVTWE,Item #5,60,18.37422317,2.5,16.23109345,0.454553154,316.3611309,May,,,,,,,,,,
BVTWE,Item #5,68,11.55484584,2.5,9.818295656,0.882178681,226.5768536,July,,,,,,,,,,
BVTWE,Item #5,12,12.72763349,2.5,9.613103998,0.674936352,276.7240494,October,,,,,,,,,,
BVTWE,Item #5,85,15.71701202,2.5,13.77940781,1.141032934,435.9745139,August,,,,,,,,,,
BVTWE,Item #5,45,9.873332009,2.5,9.195324117,0.566355787,283.8739621,June,,,,,,,,,,
BVTWE,Item #5,73,19.91834822,2.5,11.3086047,0.495303717,369.3082441,December,,,,,,,,,,
